epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,896.66,0.96086,1.36465,1.42176,0.59589,0.59238,0.61709,0.41947,1.20542,1.39976,1.62744,0.00999696,0.00333232,0.00999696,0.00333232,0.00999696,0.00333232,0.00999696,0.00333232
2,1706.73,0.9308,1.28107,1.39216,0.64901,0.61283,0.65809,0.44192,1.16954,1.29296,1.56847,0.0192051,0.00640169,0.0192051,0.00640169,0.0192051,0.00640169,0.0192051,0.00640169
3,2495.96,0.93943,1.272,1.39733,0.67687,0.62261,0.68438,0.45535,1.15407,1.23014,1.56762,0.0276212,0.00920707,0.0276212,0.00920707,0.0276212,0.00920707,0.0276212,0.00920707
4,3276.94,0.95606,1.27713,1.40286,0.71866,0.63264,0.71017,0.47253,1.12277,1.1842,1.51727,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
5,4056.39,0.94649,1.24442,1.3937,0.75218,0.67075,0.75813,0.5163,1.0696,1.08342,1.4713,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
6,4833.19,0.93443,1.20062,1.38035,0.77586,0.68757,0.77892,0.53191,1.05585,1.0216,1.44156,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
7,5610.23,0.91896,1.17382,1.37002,0.77858,0.69704,0.78353,0.539,1.03265,0.99056,1.42687,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
8,6385.99,0.91036,1.14279,1.36173,0.7976,0.71347,0.80337,0.56163,1.00048,0.94858,1.39237,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
9,7165.41,0.89915,1.12343,1.35107,0.81181,0.72172,0.81726,0.576,0.98099,0.91549,1.36812,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
10,7946.8,0.89088,1.10446,1.34452,0.81849,0.73017,0.82549,0.58987,0.95395,0.89744,1.34467,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
11,8727.1,0.88071,1.08257,1.3364,0.82351,0.74522,0.83655,0.60031,0.93776,0.86101,1.32906,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
12,9504.83,0.8739,1.06566,1.32905,0.83169,0.74991,0.84308,0.60985,0.92153,0.83912,1.31175,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
13,10286.8,0.86672,1.04936,1.32591,0.83444,0.75318,0.8457,0.61442,0.91264,0.83062,1.30116,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
14,2070.68,0.88746,1.11839,1.35176,0.83359,0.7544,0.84611,0.61468,0.91905,0.83436,1.30703,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
15,3774.94,0.88603,1.10415,1.34903,0.83418,0.75652,0.84619,0.61507,0.9172,0.8331,1.30546,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
16,5416.29,0.89249,0.93909,1.4083,0.83901,0.75655,0.8485,0.61957,0.90502,0.82502,1.2964,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
17,7060.14,0.86849,0.89757,1.38406,0.84214,0.76042,0.85232,0.62458,0.89479,0.81318,1.28653,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
18,1135.87,0.8639,1.06455,1.33192,0.84282,0.76103,0.85317,0.62552,0.89428,0.81095,1.28478,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
19,2303.04,0.85558,1.04893,1.32488,0.84407,0.76094,0.85415,0.62693,0.89227,0.80792,1.28208,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
20,3436.61,0.84896,1.03879,1.32165,0.84331,0.7636,0.85509,0.62795,0.89085,0.80547,1.28011,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
21,4558.54,0.84185,1.022,1.31456,0.84347,0.76498,0.85589,0.62889,0.88884,0.80247,1.27777,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
22,5669.64,0.83152,1.00822,1.30535,0.84452,0.76529,0.85646,0.63022,0.88671,0.79963,1.27549,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
23,6775.04,0.82207,0.99148,1.30195,0.84446,0.7659,0.85699,0.63137,0.88514,0.79722,1.27355,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
24,7873.74,0.81933,0.97956,1.29587,0.84534,0.76658,0.85777,0.63241,0.88349,0.79501,1.27148,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
25,8982.5,0.81372,0.97246,1.29299,0.84751,0.7666,0.8587,0.63346,0.88185,0.79253,1.26942,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
