epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,1256.88,1.01087,1.4874,1.44114,0.71015,0.62467,0.69492,0.44721,1.19099,1.21283,1.56173,0.00999848,0.00333283,0.00999848,0.00333283,0.00999848,0.00333283,0.00999848,0.00333283
2,2383.57,1.00711,1.32719,1.43572,0.743,0.63865,0.72593,0.47056,1.14743,1.15642,1.53683,0.0193385,0.00644618,0.0193385,0.00644618,0.0193385,0.00644618,0.0193385,0.00644618
3,3474.78,1.03893,1.36726,1.46126,0.74826,0.6433,0.73311,0.47921,1.16429,1.15016,1.54341,0.0280186,0.00933953,0.0280186,0.00933953,0.0280186,0.00933953,0.0280186,0.00933953
4,4554.36,1.0277,1.34261,1.45327,0.77941,0.6832,0.77435,0.5216,1.07357,1.05147,1.46083,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
5,5631.07,0.97032,1.23781,1.40998,0.8065,0.71321,0.80852,0.55896,1.00656,0.94839,1.39325,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868
6,6703.64,0.93598,1.1726,1.3824,0.82543,0.73716,0.82988,0.5851,0.97088,0.88237,1.35156,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835
7,7758.22,0.91021,1.12585,1.35913,0.83769,0.75223,0.84716,0.60751,0.92859,0.82791,1.31113,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
8,8837.5,0.89601,1.0898,1.34784,0.84245,0.76595,0.85596,0.62498,0.89839,0.79897,1.28622,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769
9,9928.44,0.87785,1.06006,1.33653,0.84699,0.77591,0.86392,0.6365,0.87444,0.77259,1.26314,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736
10,11021.2,0.86645,1.03547,1.32472,0.85648,0.78051,0.87025,0.64781,0.85863,0.7454,1.24729,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
